grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113291334Z level=info msg=starting module=*angulardetectorsprovider.Dynamic
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.116084897Z level=info msg=starting module=*service.DashboardServiceImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.116235168Z level=info msg=starting module=*live.GrafanaLive
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113703221Z level=info msg=starting module=*metrics.InternalMetricsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.116691208Z level=info msg=starting module=*remotecache.RemoteCache
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.116795143Z level=info msg=starting module=*updatemanager.PluginsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113803495Z level=info msg=starting module=*cleanup.CleanUpService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113883336Z level=info msg=starting module=*pushhttp.Gateway
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.118555158Z level=info msg=starting module=*manager.ServiceAccountsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113930503Z level=info msg=starting module=*api.HTTPServer
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.130765205Z level=info msg=starting module=*rendering.RenderingService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113962778Z level=info msg=starting module=*appregistry.Service
grafana  | logger=app-registry t=2026-04-03T12:56:08.141906667Z level=info msg="app registry initialized"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.13135264Z level=info msg=starting module=*authz.EmbeddedZanzanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.114064459Z level=info msg=starting module=*store.dummyEntityEventsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.13137711Z level=info msg=starting module=*ssosettingsimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.131470748Z level=info msg=starting module=*loginattemptimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.131508788Z level=info msg=starting module=*dynamic.KeyRetriever
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.131524955Z level=info msg=starting module=*store.standardStorageService
grafana  | logger=grafanaStorageLogger t=2026-04-03T12:56:08.146440931Z level=info msg="Storage starting"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.131661986Z level=info msg=starting module=*service.DashboardUpdater
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.131544474Z level=info msg=starting module=*dualwrite.ZanzanaReconciler
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.131637274Z level=info msg=starting module=*migrations.SecretMigrationProviderImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113953904Z level=info msg=starting module=*service.UsageStats
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.13193641Z level=info msg=starting module=*anonimpl.AnonDeviceService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113792291Z level=info msg=starting module=*ngalert.AlertNG
grafana  | logger=ngalert t=2026-04-03T12:56:08.152211855Z level=info msg="Primary node, alert rule evaluation enabled"
grafana  | logger=ngalert.state.manager t=2026-04-03T12:56:08.152463965Z level=info msg="Warming state cache for startup"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.11376492Z level=info msg=starting module=*metric.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113812439Z level=info msg=starting module=*statscollector.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.131679284Z level=info msg=starting module=*updatemanager.GrafanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-03T12:56:08.113856952Z level=info msg=starting module=*supportbundlesimpl.Service
